n,wave,cluster,title,primary_keyword,est_vol,competition,intent,funnel,internal_link_target
1,1,Exams,"FRCOphth Part 1 Syllabus & Exam Pattern (2026): Every Section Explained",frcophth part 1 syllabus,900-1500,Low,Informational,TOFU,/exams/frcophth
2,1,Exams,"How to Prepare for FRCOphth Part 1: A 6-Month Study Plan",frcophth part 1 preparation,700-1200,Low,Informational,MOFU,/exams/frcophth
3,1,Exams,"FRCOphth Part 2 Written (CRQ & MCQ): Format, Timing and What Gets Asked",frcophth part 2 written,400-800,Low,Informational,MOFU,/exams/frcophth
4,1,Exams,"FRCOphth Part 2 OSCE: All Stations, Marking and How to Rehearse",frcophth part 2 osce,300-600,Low,Informational,MOFU,/osce
5,1,Exams,"FRCOphth Eligibility, Fees and Exam Dates for International Candidates",frcophth eligibility international,400-700,Low,Informational,TOFU,/exams/frcophth
6,2,Exams,"FRCOphth vs ICO: Which Exam Should an Indian Ophthalmology Resident Take?",frcophth vs ico,200-400,Very Low,Commercial,MOFU,/exams
7,1,Exams,"ICO Basic Visual Sciences (BVS): Syllabus, Question Style and High-Yield Areas",ico bvs exam,600-1000,Low,Informational,MOFU,/exams/ico-fico
8,1,Exams,"ICO Optics & Refraction Paper: What to Study and What to Skip",ico optics and refraction exam,400-700,Low,Informational,MOFU,/exams/ico-fico
9,1,Exams,"ICO Clinical Sciences Paper: Structure, Scoring and Preparation Route",ico clinical sciences exam,300-600,Low,Informational,MOFU,/exams/ico-fico
10,2,Exams,"FICO (Advanced ICO): Who It's For, What Changes After BVS",fico exam,300-600,Low,Informational,MOFU,/exams/ico-fico
11,1,Exams,"ICO Exam Registration, Dates, Fees and Test Centres in India",ico exam registration india,800-1400,Low,Informational,TOFU,/exams/ico-fico
12,1,Exams,"ICO/FICO Past Papers: How to Use Them Without Wasting Them",ico past papers,900-1600,Low,Commercial,BOFU,/products/ico-fico-past-papers
13,1,Exams,"FAICO Exam Guide: Eligibility, Subspecialties, Pattern and Timeline",faico exam,600-1100,Very Low,Informational,TOFU,/exams/faico
14,1,Exams,"How to Apply for FAICO: Documents, Deadlines and Common Rejections",faico eligibility,300-600,Very Low,Informational,TOFU,/exams/faico
15,2,Exams,"FAICO Glaucoma: Syllabus Map and High-Yield Question Areas",faico glaucoma,100-300,Very Low,Informational,MOFU,/exams/faico
16,1,Exams,"DNB Ophthalmology Theory Papers: Pattern and 10-Year Topic Analysis",dnb ophthalmology theory papers,900-1600,Low,Informational,MOFU,/exams/dnb
17,1,Exams,"DNB Ophthalmology Previous Year Questions: What Repeats and How Often",dnb ophthalmology previous year questions,1000-1800,Low,Commercial,BOFU,/products/dnb-do-past-5-year-papers
18,1,Exams,"DNB Ophthalmology Practical Exam: Cases, Viva and Examiner Expectations",dnb ophthalmology practical exam,600-1100,Low,Commercial,BOFU,/osce
19,2,Exams,"MS Ophthalmology University Exams: How They Differ From DNB",ms ophthalmology exam preparation,500-900,Low,Informational,MOFU,/exams/dnb
20,2,Exams,"DO Ophthalmology Exam: Syllabus, Practicals and Next Steps After DO",do ophthalmology exam,300-600,Very Low,Informational,MOFU,/exams/dnb
21,1,Exams,"PD-CET Ophthalmology: Pattern, Syllabus, Cut-offs and Seat Matrix",pdcet ophthalmology,700-1300,Very Low,Informational,TOFU,/exams/pd-cet
22,1,Exams,"PD-CET Previous Year Questions: Topic-Wise Breakdown",pdcet previous year question paper,400-800,Very Low,Commercial,BOFU,/free-mcqs/pdcet
23,1,Exams,"NEET-SS Ophthalmology: Pattern, Eligibility and Preparation Strategy",neet ss ophthalmology,1200-2200,Medium,Informational,TOFU,/exams
24,2,Exams,"OKAP Exam Explained for Residents Outside the US",okap exam,800-1500,Medium,Informational,TOFU,/exams
25,3,Exams,"EBO/FEBO Diploma: Format, Eligibility and Whether It's Worth It",ebo exam ophthalmology,200-500,Low,Informational,TOFU,/exams
26,1,Topics,"Glaucoma High-Yield Facts for PG Exams (+30 Practice MCQs)",glaucoma mcq,700-1300,Low,Informational,TOFU,/topics/glaucoma
27,1,Topics,"Diabetic Retinopathy Classification: ETDRS, ICDR and Exam Traps",diabetic retinopathy classification mcq,600-1100,Low,Informational,TOFU,/topics/retina
28,2,Topics,"AMD and Anti-VEGF: Trials, Dosing Regimens and High-Yield Points",amd anti vegf mcq,300-600,Low,Informational,TOFU,/topics/retina
29,2,Topics,"Retinal Detachment and PVR: Classification, Surgery and Viva Points",retinal detachment mcq,400-700,Low,Informational,TOFU,/topics/retina
30,1,Topics,"How to Read an OCT in the Exam: Pattern Recognition in 10 Scans",oct interpretation ophthalmology,900-1600,Low,Informational,TOFU,/products/read-ophthalmology-reports-tests
31,2,Topics,"FFA and ICGA Interpretation: Phases, Patterns and Classic Images",ffa interpretation ophthalmology,400-800,Low,Informational,TOFU,/products/read-ophthalmology-reports-tests
32,1,Topics,"Corneal Dystrophies Made Memorable: IC3D Classification and Mnemonics",corneal dystrophies mnemonics,500-900,Low,Informational,TOFU,/topics/cornea
