rank,tier,topic,primary_keyword,vol,kd,secondary_keywords,page_type,target_url,why
1,Quick win,"Free Ophthalmology MCQs: Topic-Wise Practice With Explanations",ophthalmology mcq,390,11,"ophthalmology mcq with answers|ophthalmology mcq questions pdf|eye mcq for pg|ophthalmology quiz",Hub,/free-mcqs,"You already rank #5 from a product page. A real free-practice hub takes this to #1."
2,Quick win,"Fincham Test: Technique, Interpretation and Exam Answer",fincham test,1900,19,"fincham test ophthalmology|fincham flicker test|nuclear sclerosis fincham",Article,/products/rings-dots-lines-spots-guide,"Ranking #38 accidentally from a product PDF. Highest single-term volume you already touch."
3,Quick win,"Mittendorf Dot: Origin, Appearance and Differentials",mittendorf dot,880,19,"mittendorf dot ophthalmology|posterior lens capsule dot|hyaloid remnant",Article,/products/rings-dots-lines-spots-guide,"Ranking #31 unoptimised. Same page, same accident."
4,Quick win,"Coats White Ring: What It Is and Why It Gets Asked",coats white ring,210,19,"coats white ring cornea|corneal iron deposit ring|coats ring vs fleischer",Article,/topics/cornea,"You rank #18 already; hiseyeness competes weakly."
5,Quick win,"DNB Ophthalmology: The Complete Exam Guide",dnb ophthalmology,880,13,"dnb ophthalmology exam|dnb ophthalmology syllabus|dnb ms ophthalmology|dnb ophthalmology pattern",Exam guide,/exams/dnb,"#17 from a product page. Your second-biggest owned term with no real guide behind it."
6,Quick win,"FAICO Full Form in Medical: The AIOS Fellowship Explained",faico full form in medical,260,10,"faico full form|faico meaning|what is faico|faico ophthalmology full form",Definition,/exams/faico,"You hold 5 competing URLs. This is the consolidation target."
7,Quick win,"FICO in Ophthalmology: What the Qualification Is and Who Sits It",fico ophthalmology,590,17,"fico ophthalmology exam|fico ico difference|fico eligibility|fico exam india",Definition,/exams/ico-fico,"Eight of your URLs fight for this. Pick one, 301 the rest."
8,Quick win,"FAICO: Eligibility, Subspecialties, Pattern and Timeline",faico,480,18,"faico exam|faico aios|aios faico|faico fellowship",Exam guide,/exams/faico,"Your single highest-traffic term, currently at #12 from a blog post."
9,Quick win,"FAICO Full Form: Fellowship of All India Ophthalmological Society",faico full form,110,9,"faico stands for|faico abbreviation|faico full name",Definition,/exams/faico,"KD 9 and you hold 7 URLs on it. Consolidation, not new writing."
10,Quick win,"FICO Full Form in Ophthalmology",fico full form in ophthalmology,110,8,"fico full form eye|fico meaning ophthalmology|fico abbreviation medical",Definition,/exams/ico-fico,"KD 8, lowest-effort term you already rank on."
