n,group,idea,target_keyword,volume,kd,evidence,link_to
1,Acronyms,"FICO Full Form: What FICO Means in Ophthalmology and Who Can Sit It",fico full form,3600,23,"MEASURED — icoph.org ranks #3; you rank nowhere with a dedicated page",/exams/ico-fico
2,Acronyms,"ICO Full Form and What the International Council of Ophthalmology Actually Does",ico full form,2400,57,"MEASURED — icoph.org #5; high KD, long game",/exams/ico-fico
3,Acronyms,"FICO Full Form in Medical: The Exam, Not the Credit Score",fico full form in medical,590,10,"MEASURED — icoph #1; KD 10, you can take this",/exams/ico-fico
4,Acronyms,"FAICO Full Form in Medical and How the Fellowship Works",faico full form in medical,260,10,"MEASURED — you already rank #4–9 across 5 URLs (cannibalised)",/exams/faico
5,Acronyms,"FAICO Full Form: Fellowship of All India Ophthalmological Society",faico full form,110,9,"MEASURED — you hold 8 competing URLs for this one term",/exams/faico
6,Acronyms,"FICO Full Form in Ophthalmology",fico full form in ophthalmology,110,8,"MEASURED — icoph #1, you hold 8 competing URLs",/exams/ico-fico
7,Acronyms,"FAICO Ophthalmology: What the Qualification Is Worth",faico ophthalmology,110,10,"MEASURED — aios.org #1, you #4",/exams/faico
8,Acronyms,"AIOS Full Form and What Membership Gets You",aios full form,320,23,"MEASURED — aios.org #1",/exams/faico
9,Acronyms,"AIOC Full Form: The AIOS Annual Conference Explained",aioc full form,170,24,"MEASURED — aios.org ranks",/exams/faico
10,Acronyms,"OKAT Full Form and How the AIOS Assessment Test Works",okat,1300,25,"MEASURED — aios.org #2; your nav says OKAT/MAICO but you have no page",/exams
11,Acronyms,"IJO: Indian Journal of Ophthalmology — Scope, Submission, Access",ijo,3600,20,"MEASURED — aios.org #2 (468 clicks/mo, their single biggest page)",/resources
12,Acronyms,"OPH / Ophth Abbreviations Used in Exam Papers",oph full form,390,18,"MEASURED — icoph ranks #15",/glossary
13,Eponyms,"Fincham Test: Technique, Interpretation and Exam Answer",fincham test,1900,19,"MEASURED — your rings-dots page ranks #38 unoptimised. Biggest single miss on the site",/products/rings-dots-lines-spots-guide
14,Eponyms,"Mittendorf Dot: Origin, Appearance and Differentials",mittendorf dot,880,19,"MEASURED — your rings-dots page ranks #31 unoptimised",/products/rings-dots-lines-spots-guide
15,Eponyms,"Coats White Ring: What It Is and Why It's Asked",coats white ring,210,19,"MEASURED — you rank #18; hiseyeness also ranks",/products/rings-dots-lines-spots-guide
16,Eponyms,"Bull's Eye Maculopathy: Complete Differential",bull's eye maculopathy,390,17,"MEASURED — eyedocs.co.uk ranks #3",/topics/retina
17,Eponyms,"Keratic Precipitates: Types, Distribution and What Each Suggests",keratic precipitates,480,26,"MEASURED — eyedocs #9",/topics/uveitis
18,Eponyms,"Megalocornea: Definition, Associations and Differentials",megalocornea,1900,38,"MEASURED — eyedocs #3 (45 clicks/mo)",/topics/cornea
19,Eponyms,"Fuchs Heterochromic Iridocyclitis: Signs and Cataract Surgery Pitfalls",fuchs heterochromic,260,28,"MEASURED — eyedocs ranks",/topics/uveitis
20,Eponyms,"Kayser-Fleischer Ring: Where to Look and What It Means",kayser fleischer ring,—,—,"Sibling of the proven rings-dots cluster",/topics/cornea
